ticker,company,date,article_count,negative_article_count,neg_earnings_guidance,neg_demand_growth,neg_legal_regulatory,neg_product_technology,neg_strategy_management,neg_competition_pressure,neg_other,total_classified_negative_categories
AAPL,Apple,2023-01-02,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-03,6,3,1,2,0,0,1,0,1,5
AAPL,Apple,2023-01-04,2,1,1,0,0,0,1,0,0,2
AAPL,Apple,2023-01-05,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-06,5,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-08,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-09,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-10,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-11,5,1,0,1,1,0,0,0,0,2
AAPL,Apple,2023-01-12,6,1,1,1,0,0,0,0,0,2
AAPL,Apple,2023-01-13,5,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-16,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-17,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-18,3,1,1,1,0,0,0,0,0,2
AAPL,Apple,2023-01-19,3,1,0,0,0,0,0,0,1,1
AAPL,Apple,2023-01-21,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-23,4,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-24,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-25,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-26,2,1,1,0,0,0,0,0,0,1
AAPL,Apple,2023-01-27,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-29,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-01-30,3,1,0,1,1,0,1,1,0,4
AAPL,Apple,2023-01-31,4,1,0,0,0,0,1,0,0,1
AAPL,Apple,2023-02-01,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-02,4,1,1,1,0,0,1,0,0,3
AAPL,Apple,2023-02-03,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-06,5,1,0,0,0,0,0,0,1,1
AAPL,Apple,2023-02-07,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-08,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-09,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-10,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-11,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-13,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-14,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-15,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-16,3,1,1,0,1,0,1,0,0,3
AAPL,Apple,2023-02-17,4,1,1,0,0,0,0,1,0,2
AAPL,Apple,2023-02-20,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-21,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-22,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-23,6,1,1,1,0,0,0,0,0,2
AAPL,Apple,2023-02-24,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-25,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-26,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-02-27,4,1,0,1,1,1,0,1,0,4
AAPL,Apple,2023-02-28,22,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-01,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-02,2,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-03,6,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-05,1,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-07,3,0,0,0,0,0,0,0,0,0
AAPL,Apple,2023-03-09,2,0,0,0,0,0,0,0,0,0
