date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-01-03,AAPL,122.98272705078125,125.06999969482422,130.89999389648438,124.16999816894531,130.27999877929688,112117500,Apple,,0.010314094798429041,18.535057986473916
2023-01-04,AAPL,124.25118255615234,126.36000061035156,128.66000366210938,125.08000183105469,126.88999938964844,89113600,Apple,0.010314094798429041,-0.01060466536258986,18.305422518279094
2023-01-05,AAPL,122.93354034423828,125.0199966430664,127.7699966430664,124.76000213623047,127.12999725341797,80962700,Apple,-0.01060466536258986,0.03679418263784018,18.209499112749707
2023-01-06,AAPL,127.45677947998047,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623047,87754700,Apple,0.03679418263784018,0.004089006265108663,18.29005598012946
2023-01-09,AAPL,127.97795104980469,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800,Apple,0.004089006265108663,0.004456453272697836,18.075239606717734
2023-01-10,AAPL,128.54827880859375,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200,Apple,0.004456453272697836,0.021112131938360923,17.972770449660853
2023-01-11,AAPL,131.26220703125,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900,Apple,0.021112131938360923,-0.0005993676183391194,18.05624576870217
2023-01-12,AAPL,131.18353271484375,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600,Apple,-0.0005993676183391194,0.010119056758189027,18.083522672199997
2023-01-13,AAPL,132.510986328125,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700,Apple,0.010119056758189027,0.008756321796725919,17.8726671396316
2023-01-17,AAPL,133.67129516601562,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600,Apple,0.008756321796725919,-0.005369804305386472,17.968856464416042
2023-01-18,AAPL,132.95350646972656,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800,Apple,-0.005369804305386472,0.0004438073043084856,18.059320555663344
2023-01-19,AAPL,133.01251220703125,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400,Apple,0.0004438073043084856,0.01922048000323051,17.880776402685708
2023-01-20,AAPL,135.56907653808594,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600,Apple,0.01922048000323051,0.0235005185907613,18.200328293888635
2023-01-23,AAPL,138.75502014160156,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300,Apple,0.0235005185907613,0.010063178448573185,18.219302353688867
2023-01-24,AAPL,140.15133666992188,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100,Apple,0.010063178448573185,-0.0047009469177757834,18.01173608923709
2023-01-25,AAPL,139.49249267578125,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300,Apple,-0.0047009469177757834,0.01480357217084638,18.002119757941085
2023-01-26,AAPL,141.55747985839844,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100,Apple,0.01480357217084638,0.013684109201668404,17.806439009244194
2023-01-27,AAPL,143.49456787109375,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800,Apple,0.013684109201668404,-0.020077923790362884,18.071914444081674
2023-01-30,AAPL,140.61349487304688,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300,Apple,-0.020077923790362884,0.009020920331372695,17.97463267525306
2023-01-31,AAPL,141.8819580078125,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500,Apple,0.009020920331372695,0.007900842039513245,18.003261974664166
2023-02-01,AAPL,143.00294494628906,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600,Apple,0.007900842039513245,0.03706240854918463,18.167897237103773
2023-02-02,AAPL,148.302978515625,150.82000732421875,151.17999267578125,148.1699981689453,148.89999389648438,118339000,Apple,0.03706240854918463,0.024399990781118985,18.58906394494896
2023-02-03,AAPL,151.92156982421875,154.5,157.3800048828125,147.8300018310547,148.02999877929688,154357300,Apple,0.024399990781118985,-0.01792909276227428,18.854780602902583
2023-02-06,AAPL,149.19775390625,151.72999572753906,153.10000610351562,150.77999877929688,152.57000732421875,69858300,Apple,-0.01792909276227428,0.01924467038883093,18.06197946266382
2023-02-07,AAPL,152.0690155029297,154.64999389648438,155.22999572753906,150.63999938964844,150.63999938964844,83322600,Apple,0.01924467038883093,-0.0176523267370694,18.23823037886298
2023-02-08,AAPL,149.3846435546875,151.9199981689453,154.5800018310547,151.1699981689453,153.8800048828125,64120100,Apple,-0.0176523267370694,-0.006911695848610733,17.976268445280205
2023-02-09,AAPL,148.35214233398438,150.8699951171875,154.3300018310547,150.4199981689453,153.77999877929688,56007100,Apple,-0.006911695848610733,0.0024560792873697945,17.84098902637708
2023-02-10,AAPL,148.7165069580078,151.00999450683594,151.33999633789062,149.22000122070312,149.4600067138672,57450700,Apple,0.0024560792873697945,0.01880685820289485,17.866437746693077
2023-02-13,AAPL,151.51339721679688,153.85000610351562,154.25999450683594,150.9199981689453,150.9499969482422,62199000,Apple,0.01880685820289485,-0.00422495126179534,17.945849480409752
2023-02-14,AAPL,150.87326049804688,153.1999969482422,153.77000427246094,150.86000061035156,152.1199951171875,61707600,Apple,-0.00422495126179534,0.013903331738748248,17.937917657951257
2023-02-15,AAPL,152.9709014892578,155.3300018310547,155.5,152.8800048828125,153.11000061035156,65573800,Apple,0.013903331738748248,-0.010429221610834594,17.99868678389289
2023-02-16,AAPL,151.3755340576172,153.7100067138672,156.3300018310547,153.35000610351562,153.50999450683594,68167900,Apple,-0.010429221610834594,-0.007546862083310568,18.03748433752488
2023-02-17,AAPL,150.23312377929688,152.5500030517578,153.0,150.85000610351562,152.35000610351562,59144100,Apple,-0.007546862083310568,-0.026679726881175703,17.895487397006228
2023-02-21,AAPL,146.22494506835938,148.47999572753906,151.3000030517578,148.41000366210938,150.1999969482422,58867200,Apple,-0.026679726881175703,0.0028961709060149055,17.890794617447632
2023-02-22,AAPL,146.6484375,148.91000366210938,149.9499969482422,147.16000366210938,148.8699951171875,51011300,Apple,0.0028961709060149055,0.0032904813275798084,17.74755773477335
2023-02-23,AAPL,147.1309814453125,149.39999389648438,150.33999633789062,147.24000549316406,150.08999633789062,48394200,Apple,0.0032904813275798084,-0.018005313213257823,17.694890529795362
2023-02-24,AAPL,144.48184204101562,146.7100067138672,147.19000244140625,145.72000122070312,147.11000061035156,55469600,Apple,-0.018005313213257823,0.00824754070278666,17.831345680900316
2023-02-27,AAPL,145.6734619140625,147.9199981689453,149.1699981689453,147.4499969482422,147.7100067138672,44998500,Apple,0.00824754070278666,-0.003447627155997779,17.622139713845694
2023-02-28,AAPL,145.17123413085938,147.41000366210938,149.0800018310547,146.8300018310547,147.0500030517578,50547000,Apple,-0.003447627155997779,-0.014246355506476682,17.73841415448863
2023-03-01,AAPL,143.1030731201172,145.30999755859375,147.22999572753906,145.00999450683594,146.8300018310547,55479000,Apple,-0.014246355506476682,0.004129381089722939,17.831515128735123
