date,ticker,adj_close,close,high,low,open,volume,company,firm_group,daily_return,next_day_return,log_volume,article_count,negative_article_count,neg_earnings_guidance,neg_demand_growth,neg_legal_regulatory,neg_product_technology,neg_strategy_management,neg_competition_pressure,neg_other,has_negative_news
2023-01-03,AAPL,122.98271942138672,125.06999969482422,130.89999389648438,124.16999816894533,130.27999877929688,112117500,Apple,Large tech,,0.010314157474591,18.53505798647392,7,3,1,2,0,0,1,0,1,1
2023-01-04,AAPL,124.25118255615234,126.36000061035156,128.66000366210938,125.08000183105467,126.88999938964844,89113600,Apple,Large tech,0.010314157474591,-0.0106046039595966,18.30542251827909,2,1,1,0,0,0,1,0,0,1
2023-01-05,AAPL,122.9335479736328,125.0199966430664,127.7699966430664,124.76000213623048,127.12999725341795,80962700,Apple,Large tech,-0.0106046039595966,0.0367941803543516,18.209499112749707,2,0,0,0,0,0,0,0,0,0
2023-01-06,AAPL,127.456787109375,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623048,87754700,Apple,Large tech,0.0367941803543516,0.0040887067269659,18.29005598012946,5,0,0,0,0,0,0,0,0,0
2023-01-09,AAPL,127.97792053222656,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800,Apple,Large tech,0.0040887067269659,0.0044566927950948,18.075239606717734,2,0,0,0,0,0,0,0,0,0
2023-01-10,AAPL,128.54827880859375,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200,Apple,Large tech,0.0044566927950948,0.0211120132375179,17.972770449660853,3,0,0,0,0,0,0,0,0,0
2023-01-11,AAPL,131.26219177246094,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900,Apple,Large tech,0.0211120132375179,-0.0005993676880134,18.05624576870217,5,1,0,1,1,0,0,0,0,1
2023-01-12,AAPL,131.1835174560547,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600,Apple,Large tech,-0.0005993676880134,0.0101191742515593,18.0835226722,6,1,1,1,0,0,0,0,0,1
2023-01-13,AAPL,132.510986328125,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700,Apple,Large tech,0.0101191742515593,0.0087565520989747,17.8726671396316,5,0,0,0,0,0,0,0,0,0
2023-01-17,AAPL,133.67132568359375,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600,Apple,Large tech,0.0087565520989747,-0.0053700313825442,17.968856464416042,2,0,0,0,0,0,0,0,0,0
2023-01-18,AAPL,132.95350646972656,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800,Apple,Large tech,-0.0053700313825442,0.0004439220721657,18.059320555663344,3,1,1,1,0,0,0,0,0,1
2023-01-19,AAPL,133.0125274658203,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400,Apple,Large tech,0.0004439220721657,0.019220477798316,17.880776402685708,3,1,0,0,0,0,0,0,1,1
2023-01-20,AAPL,135.569091796875,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600,Apple,Large tech,0.019220477798316,0.0235004033920953,18.200328293888635,0,0,0,0,0,0,0,0,0,0
2023-01-23,AAPL,138.75502014160156,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300,Apple,Large tech,0.0235004033920953,0.0100632884178488,18.219302353688867,5,0,0,0,0,0,0,0,0,0
2023-01-24,AAPL,140.15135192871094,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100,Apple,Large tech,0.0100632884178488,-0.0047008375323177,18.01173608923709,2,0,0,0,0,0,0,0,0,0
2023-01-25,AAPL,139.49252319335938,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300,Apple,Large tech,-0.0047008375323177,0.014803240768594,18.002119757941085,3,0,0,0,0,0,0,0,0,0
2023-01-26,AAPL,141.55746459960938,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100,Apple,Large tech,0.014803240768594,0.0136843262610877,17.806439009244194,2,1,1,0,0,0,0,0,0,1
2023-01-27,AAPL,143.4945831298828,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800,Apple,Large tech,0.0136843262610877,-0.0200780279923747,18.071914444081678,1,0,0,0,0,0,0,0,0,0
2023-01-30,AAPL,140.61349487304688,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300,Apple,Large tech,-0.0200780279923747,0.0090208118155499,17.97463267525306,4,1,0,1,1,0,1,1,0,1
2023-01-31,AAPL,141.88194274902344,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500,Apple,Large tech,0.0090208118155499,0.0079009504348879,18.003261974664166,4,1,0,0,0,0,1,0,0,1
2023-02-01,AAPL,143.00294494628906,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600,Apple,Large tech,0.0079009504348879,0.037062621954427,18.167897237103773,1,0,0,0,0,0,0,0,0,0
2023-02-02,AAPL,148.30300903320312,150.82000732421875,151.17999267578125,148.1699981689453,148.89999389648438,118339000,Apple,Large tech,0.037062621954427,0.0243994713137498,18.58906394494896,4,1,1,1,0,0,1,0,0,1
2023-02-03,AAPL,151.92152404785156,154.5,157.3800048828125,147.8300018310547,148.02999877929688,154357300,Apple,Large tech,0.0243994713137498,-0.0179286964100925,18.854780602902583,3,0,0,0,0,0,0,0,0,0
2023-02-06,AAPL,149.19776916503906,151.72999572753906,153.10000610351562,150.77999877929688,152.57000732421875,69858300,Apple,Large tech,-0.0179286964100925,0.0192449752373355,18.06197946266382,5,1,0,0,0,0,0,0,1,1
2023-02-07,AAPL,152.06907653808594,154.64999389648438,155.22999572753906,150.63999938964844,150.63999938964844,83322600,Apple,Large tech,0.0192449752373355,-0.017652821357899,18.23823037886298,2,0,0,0,0,0,0,0,0,0
