,count,mean,std,min,25%,50%,75%,max
daily_return,4506.0,0.0020114015714067144,0.02169259060136647,-0.169681623049019,-0.0086004227688064,0.00161280009309225,0.012205390060968825,0.243696693243546
next_day_return,4506.0,0.0020114015714067144,0.021692590601366475,-0.169681623049019,-0.0086004227688064,0.00161280009309225,0.012205390060968825,0.243696693243546
log_volume,4512.0,17.61564775343177,1.0456174750306784,15.368610896048084,16.88968194642361,17.411228342784476,17.94108114623912,21.15758464440056
article_count,4512.0,2.946586879432624,5.1637801948451125,0.0,1.0,2.0,4.0,191.0
negative_article_count,4512.0,0.23714539007092197,0.5479156677315529,0.0,0.0,0.0,0.0,6.0
neg_earnings,4512.0,0.09375,0.3340380399052575,0.0,0.0,0.0,0.0,4.0
neg_growth,4512.0,0.07092198581560284,0.2830091982289633,0.0,0.0,0.0,0.0,3.0
neg_regulation,4512.0,0.07335992907801418,0.2827791674090309,0.0,0.0,0.0,0.0,3.0
neg_competition,4512.0,0.04543439716312057,0.2176464405496202,0.0,0.0,0.0,0.0,2.0
neg_macro,4512.0,0.04765070921985816,0.22715023320595057,0.0,0.0,0.0,0.0,2.0
neg_other,4512.0,0.04809397163120567,0.23092904043217558,0.0,0.0,0.0,0.0,3.0
