group,firm_days,average_same_day_return_pct,average_next_day_return_pct,average_log_volume,total_articles,total_negative_articles
No negative news,8022,0.2005074750889568,0.16757212280140935,16.407996774176866,9608,0
At least one negative article,1002,-0.13431605026372687,0.12963786078812978,17.538579426438808,5374,1258
