firm_group,firm_days,firms,total_articles,negative_articles,negative_news_days,average_same_day_return_pct,average_log_volume
Large tech,4512,6,14401,1160,917,0.2011401573002032,17.61564775343177
Smaller listed tech,4512,6,581,98,85,0.12556863989220582,15.451419336049284
