,count,mean,std,min,25%,50%,75%,max
daily_return,9012.0,0.0016335439859620452,0.027275716445116907,-0.3461318424899544,-0.01071031341471865,0.00144686546239745,0.0136452053755578,0.3270601965869093
next_day_return,9012.0,0.001633543985962045,0.027275716445116904,-0.3461318424899544,-0.01071031341471865,0.00144686546239745,0.0136452053755578,0.3270601965869093
log_volume,9024.0,16.533533544740525,1.469633647641544,13.174006610556168,15.170636697172245,16.67425395752914,17.494946801677656,21.15758464440056
article_count,9024.0,1.6602393617021276,4.2337797846459,0.0,0.0,0.0,2.0,185.0
negative_article_count,9024.0,0.13940602836879432,0.4484543401164052,0.0,0.0,0.0,0.0,11.0
neg_earnings_guidance,9024.0,0.055740248226950354,0.2685978663818361,0.0,0.0,0.0,0.0,6.0
neg_demand_growth,9024.0,0.04643173758865248,0.23576510031814152,0.0,0.0,0.0,0.0,4.0
neg_legal_regulatory,9024.0,0.046875,0.23426235563781747,0.0,0.0,0.0,0.0,3.0
neg_product_technology,9024.0,0.0036569148936170214,0.06730949968228737,0.0,0.0,0.0,0.0,3.0
neg_strategy_management,9024.0,0.025930851063829786,0.17676523164523308,0.0,0.0,0.0,0.0,3.0
neg_competition_pressure,9024.0,0.02171985815602837,0.15246429981361842,0.0,0.0,0.0,0.0,4.0
