category,article_count,same_day_return_coefficient,same_day_return_p_value,same_day_return_stars,next_day_return_coefficient,next_day_return_p_value,next_day_return_stars,log_volume_coefficient,log_volume_p_value,log_volume_stars
Earnings/guidance events,503,-0.4963602509320147,0.0007379180461831,***,-0.2467250816567743,0.0958629314152007,*,0.0896274555617443,0.000104426853721,***
Demand/growth events,419,0.2552768087008683,0.0783066131232843,*,-0.065360056464924,0.5905143718180594,,0.0472696143512391,0.0573910525517851,*
Legal/regulatory events,423,0.0141906555543852,0.8855680131210854,,0.1971350974591695,0.032155494318256,**,0.0173617096650791,0.4351719385697542,
Product/technology problems,33,0.4670328844848984,0.0167057237513328,**,-0.0786888142215835,0.7245243519115192,,-0.0245936284448844,0.5253087259885534,
Strategy/management changes,234,0.0929983367624703,0.5572056104112061,,0.1818777321576679,0.2160733136725412,,-0.0030221994767158,0.9050633033825136,
Competition pressure,196,-0.1966828447415775,0.2110128226800038,,-0.0533874142791905,0.7048372444194142,,-0.009619501800713,0.7589643452649116,
