Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,122.98272705078125,85.81999969482422,88.33670806884766,123.65412139892578,232.94827270507812,14.283265113830566,125.06999969482422,85.81999969482422,89.12000274658203,124.73999786376953,239.5800018310547,14.3149995803833,130.89999389648438,86.95999908447266,91.05000305175781,126.37000274658203,245.75,14.996000289916992,124.16999816894531,84.20999908447266,88.5199966430664,122.27999877929688,237.39999389648438,14.095999717712402,130.27999877929688,85.45999908447266,89.58999633789062,122.81999969482422,243.0800018310547,14.85099983215332,112117500,76706000,28131200,35528500,25740000,401277000
2023-01-04,124.25118255615234,85.13999938964844,87.30583190917969,126.26123046875,222.7583770751953,14.716300010681152,126.36000061035156,85.13999938964844,88.08000183105469,127.37000274658203,229.10000610351562,14.74899959564209,128.66000366210938,86.9800033569336,90.6500015258789,129.0500030517578,232.8699951171875,14.852999687194824,125.08000183105469,83.36000061035156,87.2699966430664,125.8499984741211,225.9600067138672,14.241000175476074,126.88999938964844,86.55000305175781,90.3499984741211,127.37999725341797,232.27999877929688,14.567000389099121,89113600,68885100,34854800,32397100,50623400,431324000
2023-01-05,122.93354034423828,83.12000274658203,85.4423599243164,125.8349838256836,216.15626525878906,14.233372688293457,125.0199966430664,83.12000274658203,86.19999694824219,126.94000244140625,222.30999755859375,14.265000343322754,127.7699966430664,85.41999816894531,87.56999969482422,128.52000427246094,227.5500030517578,14.564000129699707,124.76000213623047,83.06999969482422,85.9000015258789,124.54000091552734,221.75999450683594,14.14799976348877,127.12999725341797,85.33000183105469,87.47000122070312,126.12999725341797,227.1999969482422,14.491000175476074,80962700,67930800,27194400,25447100,39585600,389168000
2023-01-06,127.45677947998047,86.08000183105469,86.57234191894531,128.88816833496094,218.70379638671875,14.826057434082031,129.6199951171875,86.08000183105469,87.33999633789062,130.02000427246094,224.92999267578125,14.859000205993652,130.2899932861328,86.4000015258789,87.69000244140625,130.3300018310547,225.75999450683594,15.010000228881836,124.88999938964844,81.43000030517578,84.86000061035156,126.04000091552734,219.35000610351562,14.034000396728516,126.01000213623047,83.02999877929688,86.79000091552734,128.97000122070312,223.0,14.473999977111816,87754700,83303400,41381500,27584500,43613600,405044000
2023-01-09,127.97795104980469,87.36000061035156,87.24636840820312,128.34295654296875,220.83314514160156,15.593351364135742,130.14999389648438,87.36000061035156,88.0199966430664,129.47000122070312,227.1199951171875,15.628000259399414,133.41000366210938,89.4800033569336,90.05000305175781,132.9499969482422,231.24000549316406,16.055999755859375,129.88999938964844,87.08000183105469,87.86000061035156,129.27999877929688,226.41000366210938,15.140999794006348,130.47000122070312,87.45999908447266,88.36000061035156,131.16000366210938,226.4499969482422,15.284000396728516,70790800,65266100,29003900,26649100,27369800,504231000
2023-01-10,128.54827880859375,89.87000274658203,87.6428451538086,131.8323211669922,222.51527404785156,15.87372875213623,130.72999572753906,89.87000274658203,88.41999816894531,132.99000549316406,228.85000610351562,15.909000396728516,131.25999450683594,90.19000244140625,88.66999816894531,133.44000244140625,231.30999755859375,15.961999893188477,128.1199951171875,87.29000091552734,85.83000183105469,127.1500015258789,227.3300018310547,15.472000122070312,130.25999450683594,87.56999969482422,85.9800033569336,127.2699966430664,227.75999450683594,15.506999969482422,63896200,67756600,30467800,28684400,27033900,384101000
2023-01-11,131.26220703125,95.08999633789062,90.7155990600586,131.73316955566406,229.24371337890625,15.965523719787598,133.49000549316406,95.08999633789062,91.5199966430664,132.88999938964844,235.77000427246094,16.000999450683594,133.50999450683594,95.26000213623047,91.5999984741211,133.85000610351562,235.9499969482422,16.027999877929688,130.4600067138672,90.93000030517578,89.01000213623047,130.33999633789062,231.11000061035156,15.562999725341797,131.25,90.93000030517578,89.18000030517578,130.9600067138672,231.2899932861328,15.84000015258789,69458900,103126200,26862000,25423000,28669300,353285000
2023-01-12,131.18353271484375,95.2699966430664,90.32903289794922,135.5199432373047,231.9078826904297,16.474390029907227,133.41000366210938,95.2699966430664,91.12999725341797,136.7100067138672,238.50999450683594,16.51099967956543,134.25999450683594,97.19000244140625,91.87000274658203,137.67999267578125,239.89999389648438,16.636999130249023,131.44000244140625,93.5,89.75,131.75999450683594,233.55999755859375,15.491999626159668,133.8800048828125,96.93000030517578,91.4800033569336,133.44000244140625,235.25999450683594,16.100000381469727,71379600,85254800,30258100,30757700,27269500,551409000
